번호,화장실이름,관리부서,주소,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름
962,노은농수산물도매시장 저온경매장,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
963,노은농수산물도매시장 구근류동,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
964,노은농수산물도매시장 친환경경매장,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
965,노은농수산물도매시장 채소B동,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
937,복용승마장 3층,대전광역시 유성구청,대전광역시 유성구 덕명동 산10-11,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011300,덕명동
938,복용승마장 2층,대전광역시 유성구청,대전광역시 유성구 덕명동 산10-11,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011300,덕명동
939,복용승마장 1층,대전광역시 유성구청,대전광역시 유성구 덕명동 산10-11,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011300,덕명동
940,미로공원,대전광역시 유성구청,대전광역시 유성구 덕명동 584,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011300,덕명동
941,시간공원,대전광역시 유성구청,대전광역시 유성구 덕명동 527,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020011300,덕명동
966,노은농수산물도매시장 채소A동,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
967,노은농수산물도매시장 청과물동 2층,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
968,노은농수산물도매시장 청과물동 1층,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
969,노은농수산물도매시장 청과물동 지하층,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
970,월드컵경기장역,대전광역시 유성구청,대전광역시 유성구 노은동 566,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
971,노은1동주민센터 3층,대전광역시 유성구청,대전광역시 유성구 노은동 546,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
972,노은1동주민센터 2층,대전광역시 유성구청,대전광역시 유성구 노은동 546,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
973,노은1동주민센터 1층,대전광역시 유성구청,대전광역시 유성구 노은동 546,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
976,대전광역시 선사박물관 2층,대전광역시 유성구청,대전광역시 유성구 노은동 523,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
977,대전광역시 선사박물관 1층,대전광역시 유성구청,대전광역시 유성구 노은동 523,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
978,노은119안전센터 1층,대전광역시 유성구청,대전광역시 유성구 노은동 503-6,3000000000,대전광역시,3020000000,유성구,3020054600,노은1동,3020011900,노은동
979,대전지방기상청 2층,대전광역시 유성구청,대전광역시 유성구 구성동 22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
980,대전지방기상청 1층,대전광역시 유성구청,대전광역시 유성구 구성동 22,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
981,금강유역환경청 별관3층 남자화장실,대전광역시 유성구청,대전광역시 유성구 구성동 21-1,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
982,금강유역환경청 별관2층,대전광역시 유성구청,대전광역시 유성구 구성동 21-1,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
983,금강유역환경청 별관1층 남자화장실,대전광역시 유성구청,대전광역시 유성구 구성동 21-1,3000000000,대전광역시,3020000000,유성구,3020054000,온천2동,3020012400,구성동
